LocationNumber,pop,group,year,longitude,latitude
1,Rovinj,Istrian,2017,13.640177,45.09019742
2,Valsaline,Istrian,2008. 2017,13.83708308,44.84950432
3,Sarkodana,Istrian,2008,13.83694525,44.84506887
4,Cres,Northern,2006,14.36193082,45.1089148
5,Krk_neu,Northern,2006,14.435741,45.095509
6,Krk_Baska,Northern,2017,14.76594243,44.95821271
7,Klenovica,Northern,2006,14.84579705,45.09813483
8,Rab,Northern,2007,14.827929,44.711666
9,HafenPag_neu,kvarner,2007,14.9151,44.633742
10,Pag,kvarner,2006,14.833415,44.596798
11,PagerBucht,kvarner,2007,15.008052,44.475273
12,Pag_Holger,kvarner,2017,14.98740121,44.49353819
13,DugiOtok,kvarner,2006,14.90558237,44.1408228
14,Ugljan_neu,kvarner,2006,15.101286,44.154197
15,Pasman,kvarner,2006,15.413401,43.896587
16,SibenikDolac_neu,middle,2014,15.91531,43.529304
NA,Kornaten_Sued,,,15.51488,43.674748
17,TrogirCiovoWest,middle,2014,16.244405,43.493751
18,BracSupetarSutivan,middle,2014,16.50119784,43.38454503
19,BracPovlja,middle,2014,16.8387753,43.33965281
20,CampAloaBol,middle,2014,16.60906924,43.26298121
21,HvarBucht4,middle,2012,17.1048652,43.13419153
22,HvarMlaska,middle,2012,17.14247768,43.13877884
23,HvarBogomoje,middle,2012,16.99416781,43.11759711
24,Mljet,middle,2007,17.458898,42.751638
25,Molunat_neu,middle,2007,18.43417361,42.4535528
